Plot,year,date,severity,new,blue,green,red,redge,nir,ndvi,ndre,cire,sipi,mndvi
1,2021,D0,0,2021-07-07,0.0234365684798309,0.05959131934321837,0.04362132681108275,0.1444027335288083,0.31312519093400226,0.6988392422804621,0.35153433476274926,-0.3789602649992375,3.641733403363036,0.3357828096650125
1,2021,D1,0.25,2021-07-15,0.020529557130589637,0.05020432239648498,0.029733882235353965,0.1338568884870543,0.31857845701442133,0.7882094004868867,0.3981184883231217,-0.3774775682996816,3.2284252482058857,0.0205864547810572
1,2021,D2,0.9,2021-07-20,0.02108184641537474,0.05315596648031893,0.036299273271383,0.16159350058727592,0.40612884891046286,0.8110456757198587,0.4222096609900408,-0.49194645174681134,3.2868877368400327,-0.16969125206822233
1,2021,D3,4.575,2021-08-02,0.024569603122638943,0.05829370257082023,0.03337979694814685,0.20354885105383852,0.4674466998187812,0.8522271756333112,0.3940105886835799,-0.6086617825761108,2.7323015710316634,-0.932964439808086
1,2021,D4,8.75,2021-08-25,0.03244729766331741,0.06243503227354476,0.07069394830016472,0.13318807181900816,0.2240196633478859,0.5263451385250232,0.2603763730681003,-0.2649440842366416,3.835706825425773,0.06984817107725348
1,2021,D5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2021,D0,0,2021-07-07,0.02282100276455048,0.05970168223545373,0.04427105209949365,0.14320501179447245,0.3003495828697592,0.6909050822159737,0.3404127109786782,-0.3623515335898664,3.5501252024941965,0.3831091051871136
2,2021,D1,0.75,2021-07-15,0.0185980025249059,0.05052206172352945,0.031058537106114063,0.1318898438503682,0.3058316683864208,0.7805915966215947,0.392277384961947,-0.3619396832996048,3.2776904986501565,0.025017020054392523
2,2021,D2,3.675,2021-07-20,0.021076383463828174,0.05629455676185885,0.0369002186806977,0.15724434410560165,0.3762102613774471,0.7876093161072629,0.4011143089784575,-0.4570927663168287,3.3063429944812177,-0.04831534313195452
2,2021,D3,12.45,2021-08-02,0.02227491755425196,0.05626305679157328,0.0340262002700782,0.1924762161953488,0.40873794040009737,0.8252356308426618,0.3618694266327746,-0.5293004648667357,2.6311856430796454,-0.470213443763197
2,2021,D4,20.75,2021-08-25,0.03220764338020569,0.06421227059087223,0.0735843250379194,0.13056105249116237,0.212610294646614,0.4872964772386114,0.24163318138061268,-0.24922185991351165,4.146557359180356,0.16351823194747914
2,2021,D5,45.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2021,D0,0,2021-07-07,0.022290884497116335,0.06034372008259564,0.0429655311576603,0.1441267411796176,0.3037592133302132,0.6985894123755295,0.34248548402255385,-0.36741735904804346,3.484419571767532,0.3004619363181852
3,2021,D1,2.925,2021-07-15,0.01981701956340857,0.053488235731252096,0.032882781380142376,0.13223806014798126,0.30222704140191065,0.7638126646792291,0.3819166906099489,-0.3575166059812362,3.2530420912270936,0.0061431868503030425
3,2021,D2,7.375,2021-07-20,0.021781055551657144,0.05907054836345319,0.038678154299067895,0.1628041031518833,0.38818849000987776,0.783511510024198,0.39863137693217376,-0.4759719449373293,3.2721095597340537,-0.095364584627628
3,2021,D3,18,2021-08-02,0.025233032694441323,0.06403574764388423,0.03893872349251986,0.1969020846054055,0.411020978722963,0.806132133142325,0.3530706780473398,-0.5336928283623766,2.6533929266308465,-0.4919324210552405
3,2021,D4,34.6,2021-08-25,0.03148391691294862,0.06400177110442246,0.06896637076313195,0.14659707112215858,0.23890439068556277,0.5390937518175138,0.2399181676060104,-0.2891878548938717,3.288028583797334,0.05401536337597089
